pergunta,pessoa,resposta
Por que,meu namorado,me atrai
Por que,meu namorado,me ama
Por que,meu namorado,não responde
Por que,meu namorado,gosta de mim
Por que,meu namorado,quer casar comigo
Por que,minha namorada,me atrai
Por que,minha namorada,me ama
Por que,minha namorada,não responde
Por que,minha namorada,gosta de mim
Por que,minha namorada,quer casar comigo
O que,meu namorado,quer de aniversário
O que,meu namorado,come demais
O que,meu namorado,diz que me ama
O que,meu namorado,acorda à noite
O que,meu namorado,faz no trabalho
O que,minha namorada,quer de aniversário
O que,minha namorada,come demais
O que,minha namorada,diz que me ama
O que,minha namorada,acorda à noite
O que,minha namorada,faz no trabalho
Como,meu namorado,dorme
Como,meu namorado,consegue ser magro
Como,meu namorado,pode ficar sem me responder
Como,meu namorado,quer dormir comigo
Como,meu namorado,acorda cedo
Como,minha namorada,dorme
Como,minha namorada,consegue ser magro
Como,minha namorada,pode ficar sem me responder
Como,minha namorada,quer dormir comigo
Como,minha namorada,acorda cedo
Quem,meu namorado,me atrai
Quem,meu namorado,me ama
Quem,meu namorado,não responde
Quem,meu namorado,gosta de mim
Quem,meu namorado,quer casar comigo
Quem,minha namorada,me atrai
Quem,minha namorada,me ama
Quem,minha namorada,não responde
Quem,minha namorada,gosta de mim
Quem,minha namorada,quer casar comigo
Onde,meu namorado,quer de aniversário
Onde,meu namorado,come demais
Onde,meu namorado,diz que me ama
Onde,meu namorado,acorda à noite
Onde,meu namorado,faz no trabalho
Onde,minha namorada,quer de aniversário
Onde,minha namorada,come demais
Onde,minha namorada,diz que me ama
Onde,minha namorada,acorda à noite
Onde,minha namorada,faz no trabalho
Quando,meu namorado,me atrai
Quando,meu namorado,me ama
Quando,meu namorado,não responde
Quando,meu namorado,gosta de mim
Quando,meu namorado,quer casar comigo
Quando,minha namorada,me atrai
Quando,minha namorada,me ama
Quando,minha namorada,não responde
Quando,minha namorada,gosta de mim
Quando,minha namorada,quer casar comigo
